Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
__GI__IO_file_jumps;fileops.c;1455;0.5759494304656982;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.5237843990325928;0-2;LSB bit-flip;1
audit_list_string;rtld.c;134;0.2808842658996582;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;1.5542216300964355;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;1.420517921447754;0-2;LSB bit-flip;1
library_path;rtld.c;823;0.5318100452423096;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.124898910522461;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.4684925079345703;0-2;LSB bit-flip;1
__libc_multiple_libcs;../elf/dl-sysdep.c;60;1.0337235927581787;0-2;LSB bit-flip;1
load_time;rtld.c;307;1.1603944301605225;0-2;LSB bit-flip;1
_rtld_global_ro;rtld.c;259;0.3176724910736084;0-2;LSB bit-flip;1
tls_init_tp_called;rtld.c;677;0.5633833408355713;0-2;LSB bit-flip;1
preloadlist;rtld.c;825;0.6571409702301025;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.1036124229431152;0-2;LSB bit-flip;1
__libc_multiple_libcs;../elf/dl-sysdep.c;60;0.9853248596191406;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.9259085655212402;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.8327765464782715;0-2;LSB bit-flip;1
_rtld_global_ro;rtld.c;259;0.23646235466003418;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.4847121238708496;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.7354729175567627;0-2;LSB bit-flip;1
library_path;rtld.c;823;1.1714885234832764;0-2;LSB bit-flip;1
__PRETTY_FUNCTION__;rtld.c;0;1.1028451919555664;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.3623008728027344;0-2;LSB bit-flip;1
